Generation:   0, Min_Fitness_Samples:-1.000000e+00, Mean_fitness:2.832108e-01, STD_Fitness:7.996494e-01, Best_Fitness:3.098018e+00
Generation:   0, Min_Fitness_Samples:-1.000000e+00, Mean_fitness:2.832108e-01, STD_Fitness:7.996494e-01, Best_Fitness:3.098018e+00
Generation:   1, Min_Fitness_Samples:-9.935068e+00, Mean_fitness:2.733536e-01, STD_Fitness:2.068543e+00, Best_Fitness:6.881552e+00
Generation:   2, Min_Fitness_Samples:-1.000000e+00, Mean_fitness:5.222958e-01, STD_Fitness:1.544293e+00, Best_Fitness:6.881552e+00
Generation:   2, Min_Fitness_Samples:-1.000000e+00, Mean_fitness:5.222958e-01, STD_Fitness:1.544293e+00, Best_Fitness:6.881552e+00
Generation:   3, Min_Fitness_Samples:-1.140538e+00, Mean_fitness:5.546985e-01, STD_Fitness:1.952640e+00, Best_Fitness:1.016805e+01
Generation:   4, Min_Fitness_Samples:-1.000000e+00, Mean_fitness:4.710409e-01, STD_Fitness:2.081207e+00, Best_Fitness:1.016805e+01
Generation:   4, Min_Fitness_Samples:-1.000000e+00, Mean_fitness:4.710409e-01, STD_Fitness:2.081207e+00, Best_Fitness:1.016805e+01
Generation:   5, Min_Fitness_Samples:-1.000000e+00, Mean_fitness:5.816880e-01, STD_Fitness:2.237242e+00, Best_Fitness:1.199106e+01
Generation:   6, Min_Fitness_Samples:-5.441216e+00, Mean_fitness:5.537316e-01, STD_Fitness:4.061755e+00, Best_Fitness:2.523101e+01
Generation:   7, Min_Fitness_Samples:-1.000000e+00, Mean_fitness:1.353304e+00, STD_Fitness:4.663907e+00, Best_Fitness:2.523101e+01
Generation:   8, Min_Fitness_Samples:-1.000000e+00, Mean_fitness:7.371230e-01, STD_Fitness:3.704605e+00, Best_Fitness:2.523101e+01
Generation:   8, Min_Fitness_Samples:-1.000000e+00, Mean_fitness:7.371230e-01, STD_Fitness:3.704605e+00, Best_Fitness:2.523101e+01
Generation:   9, Min_Fitness_Samples:-1.027445e+00, Mean_fitness:5.399926e-01, STD_Fitness:3.594203e+00, Best_Fitness:2.523101e+01
Generation:  10, Min_Fitness_Samples:-1.000000e+00, Mean_fitness:4.556036e-01, STD_Fitness:3.592639e+00, Best_Fitness:2.523101e+01
